Primary Name	Aliases	Gender	BirthDateRaw	BirthYear	BirthMonth	BirthDay	DeathDateRaw	DeathYear	DeathMonth	DeathDay	Occupation	BirthPlaceRaw	DeathPlaceRaw
Argenson  Marc-René	Marc-René Argenson::Marc-René de Voyer de Paulmy d'Argenson, comte d'Argenson	Male	1722	1722-00-00			1782	1782-00-00			war minister		
Argenson René-Louis	René-Louis Argenson  marquis d'Argenson René-Louis de Voyer de Paulmy, marquis d'Argenson	Male	1694	1694-00-00			1757	1757-00-00			government official, 1744 foreign minister	Paris, France	château de Segrez à Saint-Sulpice-de-Favières, France
Argental	Charles-Augustin Argental  comte d'Argental Charles-Augustin de Ferriol, comte d'Argental	Male	1700	1700-00-00			1788	1788-00-00			government official, ambassador		
Arnaud	François-Thomas-Marie Arnaud ::François-Thomas-Marie Baculard d'Arnaud	Male	1718	1718-00-00			1805	1805-00-00			writer and dramatist	Paris, France	
Astore	Francesco Antonio Astore (Astori)	Male	1742	1742-00-00			1799	1799-00-00				Casarano, Italy	
Aubry Charles-Louis	Charles-Louis Aubry	Male	1746	1746-00-00			1817	1817-00-00					
Aubry dom Jean-Baptiste-Benoît	Jean-Baptiste-Benoît Aubry dom Aubry dom Jean-Baptiste-Benoît Aubry, dom Aubry	Male	1736	1736-00-00			1809	1809-00-00			bénédictin de la congrégation de Saint-Vannes	Deivilliers, France	Commercy, France
Aude	Joseph Aude	Male	1755	1755-00-00			1841	1841-00-00			dramatist, poet	Apt, France	
Barthez	Paul-Joseph Barthez (Barthès)::Paul-Joseph Barthez, Paul-Joseph Barthès	Male	1734	1734-00-00			1806	1806-00-00			physician, physiologist, and encyclopedist who developed a take on the biological theory known as vitalism.	Montpellier, France	Paris, France
Beauclerk	Topham Beauclerck::Topham Beauclerck	Male	1739	1739-00-00			1780	1780-00-00			"celebrated wit and the only son of Lord Sidney Beauclerk; he was the great-grandson of King Charles II. He was a friend of Dr. Johnson and of Horace Walpole."		
Beaufleury	Louis-François Beaufleury	Male											
Beaumont Christophe de	Christophe Beaumont  archevêque de Paris de 1746 à 1781 Christophe de Beaumont, archevêque de Paris	Male	1703	1703-00-00			1781	1781-00-00			ecclesiastic and archbishop of Paris	château de la Roque à Meyrals, France	
Beauvau-Craon  Charles-Just	Charles-Just Beauvau-Craon prince de Beauvau-Craon Charles-Just prince de Beauvau-Craon	Male	1720	1720-00-00			1793	1793-00-00			scholar, nobleman and general	Lunéville, France	Paris, France
Beauvau-Craon Marie-Sylvie	Marie-Sylvie Beauvau-Craon princesse Charles-Just de Beauvau-Craon Marie-Sylvie de Rohan Chabot, princesse Charles-Just de Beauvau-Craon	Female	1729	1729-00-00			1807	1807-00-00			2nd épouse (1764) de Charles-Just prince de Beauvau-Craon. Ce second mariage reste sans postérité.		
Beccaria	Cesare Bonesana Beccaria marquis de Beccaria 	Male	1738	1738-00-00			1794	1794-00-00			jurist, philosopher and politician	Milan, Italia	Florence, Italia
Belgrado	Jacopo Belgrado	Male	1704	1704-00-00			1789	1789-00-00					
Benoît XIV	Prospero  Lambertini pape Benoît XIV  Prospero Lambertini, Benedictus XIV, Benedetto XIV	Male	1675	1675-00-00			1758	1758-00-00			Pope from 17 August 1740 to 3 May 1758	Bologna, Italia	Roma, Italia
Bentham	Jeremy Bentham	Male	1748	1748-00-00			1832	1832-00-00			author, jurist, philosopher, and legal and social reformer	London, England	London, England
Bernoulli Daniel	Daniel Bernoulli	Male	1700	1700-00-00			1782	1782-00-00			mathematician	Groningen,Netherlands	Basel,Switzerland
Bernoulli Johann (Jean) III	Johann (Jean) III Bernoulli 	Male	1744	1744-00-00			1807	1807-00-00			astronomer royal of Berlin then director of the mathematical department of the academy	Basel,Switzerland	Berlin, Prussia, today Germany
Bertin	Henri-Léonard-Jean-Baptiste Bertin	Male	1720	1720-00-00			1792	1792-00-00			government official, and controller general of finances of Louis XV (1759–1763).	Périgueux, France	Spa, Belgium
Betzki	Ivan Ivanovitch Betzki	Male	1702	1702-00-00			1795	1795-00-00					
Bexon	Gabriel-Léopold Bexon abbé Bexon abbé Bexon	Male	1747	1747-00-00			1784	1784-00-00			naturalist	Remiremont, France	
Birch	Thomas Birch	Male	1705	1705-00-00			1766	1766-00-00			historian and theologian	Clerkenwell, England	
Boissy d'Anglas	François-Antoine Boissy d'Anglas comte de Boissy d'Anglas 	Male	1756	1756-00-00			1826	1826-00-00			government official of the Revolution, First Republic and Empire		
Bollioud-Mermet	Louis Bollioud-Mermet	Male	1709	1709-00-00			1773	1773-00-00			writer	Lyon, France	Lyon, France
Bonfioli Malvezzi	Alfonso Bonfioli Malvezzi comte de Bonfioli Malvezzi 	Male	1730	1730-00-00			1804	1804-00-00			author		
Bonnet	Charles Bonnet 	Male	1720	1720-00-00			1793	1793-00-00			naturalist and philosophical writer	Geneva, Switzerland	Genthod, Switzerland
Borelly (Borelli)	Jean-Alexis Borelly (Borelli)::Borelly, Borelli	Male	1738	1738-00-00			1815	1815-00-00			Littérateur, published moral and critical essays	Provence, France	
Boudot	Pierre-Jean Boudot abbé Boudot 	Male	1689	1689-00-00			1771	1771-00-00			Librarians, royal censors		
Bourgelat	Claude Bourgelat	Male	1712	1712-00-00			1779	1779-00-00			veterinary surgeon	Lyon, France	
Bourlet de Vauxcelles	Simon-Jérôme Bourlet de Vauxcelles abbé Bourlet de Vauxcelles Simon-Jérôme Bourlet de Vauxcelles	Male	1734	1734-00-00			1802	1802-00-00			journalist	Versailles, France	
Bowdoin	James Bowdoin	Male	1726	1726-00-00			1790	1790-00-00			political and intellectual leader from Boston, Massachusetts during the American Revolution	Boston, USA	Boston, USA
Breteuil	Elisabeth-Théodose Breteuil ::Elisabeth-Théodose Le Tonnelier de Breteuil dit l'abbé de Breteuil	Male	1710	1710-00-00			1781	1781-00-00			Abbé de Breteuil, Chancelier du duc d'Orléans		
Brissot de Warville	Jacques-Pierre Brissot de Warville::Jacques-Pierre Brissot de Warville, Jacques-Pierre Brissot, Jacques-Pierre Brissot dit de Warville	Male	1754	1754-00-00			1793	1793-00-00			lawyer, writer, publisher, abolitionist, French Legislator	Chartres, France	Paris, France
Bruyset Jean-Marie I	Jean-Marie I Bruyset Jean-Marie 	Male	1719	1719-00-00			1793	1793-00-00			bookseller		
Bucci	Antonio Bucci 	Male	1727	1727-00-00			1793	1793-00-00					
Buffevent	Joseph Buffevent comte de Buffevent 	Male	1730	1730-00-00			1800	1800-00-00					
Buffon	Georges-Louis  Buffon comte de Buffon Georges-Louis Leclerc comte de Buffon	Male	1707	1707-00-00			1788	1788-00-00			naturalist, mathematician, cosmologist, and encyclopedic author.	Montbard, France	Paris, France
Butel-Dumont	Georges-Louis-Marie Butel-Dumont::Georges-Louis-Marie Butel	Male	1725	1725-00-00			1788	1788-00-00					
Béguelin	Nicolas Béguelin::Nicolas de Béguelin	Male	1714	1714-00-00			1789	1789-00-00			physician	Courtelary, Switzerland	Berlin, Prussia, today Germany
Béraud	Laurent Béraud	Male	1702	1702-00-00			1777	1777-00-00			jésuite, lyricist	Lyon, France	Lyon, France
Cadet de Vaux	Antoine-Alexis-François Cadet de Vaux	Male	1743	1743-00-00			1828	1828-00-00			apothicaire and journalist	Paris, France	gent-les-Vierges, France
Calandrelli	Giuseppe Calandrelli	Male	1749	1749-00-00			1827	1827-00-00			astronomer and mathematician	Zagarolo, Italia	Roma, Italia
Canaye	Etienne Canaye abbé Canaye Etienne Canaye, abbé Canaye	Male	1694	1694-00-00			1782	1782-00-00			writer	Paris, France	Paris, France
Canterzani	Sebastiano Canterzani 	Male	1734	1734-00-00			1819	1819-00-00			mathematician and physicist	Bologna, Italia	Bologna, Italia
Caracciolo	Domenico Caracciolo (Caraccioli) marquis de Villamaina 	Male	1715	1715-00-00			1789	1789-00-00			diplomat and politician	Malpartida de la Serena, Spain	Napoli, Italia
Castet de Martres	 Castet de Martres::Castet de Martres, Castet de Martrez	Male											
Castillon	Jean Castillon::Jean de Castillon, Giovanni Francesco Mauro Melchior Salvemini da Castiglione	Male	1708	1708-00-00			1791	1791-00-00			mathematician and journalist	Castiglion Fiorentino, Italy	Berlin, Prussia, today Germany
Catherine II	 Catherine II impératrice de Russie, Catherine the Great 	Female	1729	1729-00-00			1796	1796-00-00			Empress of Russia (9 July 1762 – 17 November 1796)	Stettin, Pomerania, Prussia	Saint Petersburg, Russia
Catt	Henri-Alexandre Catt::Henri-Alexandre de Catt	Male	1725	1725-00-00			1795	1795-00-00			Scholar, privat secretary of King Frederick II the Great	Morges, Switzerland	Posdam, Germany
Caze de la Bove	Gaspard-Louis Caze de la Bove	Male	1740	1740-00-00			1824	1824-00-00			intendant of Britain then deputy of Seine	Paris, France	Paris, France
Chabanon de Maugris	Antoine-Alexis-François Chabanon de Maugris	Male	1736	1736-00-00			1780	1780-00-00			writer		
Changeux	Pierre-Jacques Changeux	Male	1740	1740-00-00			1800	1800-00-00			Scholar		
Chastellux	François-Jean Chastellux marquis de Chastellux François-Jean de Beauvoir, marquis de Chastellux	Male	1736	1736-00-00			1788	1788-00-00			writer and soldier	Paris, France	
Chavanne de la Giraudière	 Chavannes de la Giraudière	Male											
Chevance	 Chevance	Male									wood merchant in Paris		
Choiseul	Etienne-François Choiseul duc de Choiseul, Étienne-François, comte de Stainville, duc de Choiseul 	Male	1719	1719-00-00			1785	1785-00-00			military officer, diplomat and government official	Nancy, France	
Choquet	 Choquet curé Choquet 	Male											
Chouvalov	Ivan Ivanovitch Chouvalov::Ivan Ivanovich Shuvalov	Male	1727	1727-00-00			1797	1797-00-00			Russian Minister of Education	Moscow, Russia	Saint Petersburg, Russia
Christian VII	 Christian VII  roi de Danemark Christian VII de Danemark	Male	1749	1749-00-00			1808	1808-00-00			King of Denmark and Norway from 1766 until 1808	Copenhagen,Denmark	Rendsburg,Germany
Christin	Charles-Frédéric-Gabriel Christin 	Male	1744	1744-00-00			1799	1799-00-00			lawyer and politician	Saint-Claud, France	Saint-Claud, France
Clairaut	Alexis-Claude Clairaut	Male	1713	1713-00-00			1765	1765-00-00			mathematician, astronomer, geophysicist, and intellectual		
Claret de la Tourrette	Marc-Antoine-Louis Claret de la Tourrette	Male	1729	1729-00-00			1793	1793-00-00			botanist	Lyon, France	Lyon, France
Collenot-David	 Collenot-David	Male									maître de pension à Paris		
Costar	Louis Costar	Male											
Condorcet	Marie-Jean-Antoine-Nicolas Condorcet marquis de Condorcet Nicolas de Caritat, marquis de Condorcet, Condorcet	Male	1743	1743-00-00			1794	1794-00-00			philosopher, mathematician, and early political scientist	Ribemont, France	Bourg-la-Reine, France
Convenance	Louis Convenance::Louis de Convenance	Male	1684	1684-00-00			1755	1755-00-00					
Corneille Madame	Marie-Louise Corneille Madame seconde épouse de Jean-François Corneille, mère de Marie-Françoise Corneille Marie-Louise Rosset	Female											
Court de Gebelin	Antoine Court de Gebelin	Male	1725	1725-00-00			1784	1784-00-00			scholar, philologist, and prose writer	Nîmes, France	Paris, France
Cousin	 Cousin	Male											
Cramer	Gabriel Cramer	Male	1704	1704-00-00			1752	1752-00-00			mathematician and physicist	Geneva, Switzerland	Bagnols-sur-Cèze, France
Creutz	Gustave Philippe Creutz comte de Creutz 	Male	1731	1731-00-00			1785	1785-00-00					
Crillon Félix-François	Félix-François Crillon comte de Crillon Félix-François de Berton, comte de Crillon	Male	1748	1748-00-00			1827	1827-00-00					
Crillon Louis-Athanase	Louis-Athanase  Crillon  abbé de Crillon Louis-Athanase de Berton, abbé de Crillon	Male	1726	1726-00-00			1789	1789-00-00			Author		
Créquy (Créqui)	Renée-Caroline  Créquy (Créqui) marquise de Créquy Renée-Caroline de Froullay, marquise de Créquy, marquise de Créqui, Renée-Caroline-Victoire de Froullay de Tessé, Marquise de Créquy	Female	1714	1714-00-00			1803	1803-00-00			femme de lettres	Saint-Denis-de-Gastines, France	Paris, France
Cubieres	Michel Cubieres chevalier de Cubieres 	Male	1752	1752-00-00			1820	1820-00-00			writer	Roquemaure, France	Paris, France
D'Alembert et Condorcet	 D'Alembert et Condorcet	Male											
D'Alembert et Damilaville	 D'Alembert et Damilaville	Male											
D'Alembert et Diderot	 D'Alembert et Diderot	Male											
D'Alembert	Jean D'Alembert::Jean le Rond d'Alembert, Jean Le Rond d’Alembert, D'Alembert	Male	1717	1717-00-00			1783	1783-00-00			mathematician, mechanician, physicist, philosopher, and music theorist, co-editor with Denis Diderot of the Encyclopédie.	Paris, France	Paris, France
Daunou	Pierre-Claude-François Daunou	Male	1761	1761-00-00			1840	1840-00-00			government official  and historian of the French Revolution and Empire	Boulogne-sur-Mer, France	
Debure (de Bure)	Guillaume II Debure (de Bure)::dit Debure fils aîné, Debure, De Bure, de Bure	Male	1734	1734-00-00			1820	1820-00-00					
Decroix	Jacques-Joseph-Marie Decroix	Male	1746	1746-00-00			1827	1827-00-00					
Delandine	Antoine-François-Amédée Delandine	Male	1756	1756-00-00			1820	1820-00-00			writer	Lyon, France	
Delisle de Sales	Jean-Baptiste-Claude Isoard dit Delisle de Sales	Male	1743	1743-00-00			1816	1816-00-00			philosopher	Lyon, France	Paris, France
Descamps	Jean-Baptiste Descamps	Male	1706	1706-00-00			1791	1791-00-00			writer and painter of village scenes	Dunkerque, France	
Deschamps	Léger-Marie Deschamps dom Deschamps Léger-Marie Deschamps, Dom Deschamps	Male	1716	1716-00-00			1774	1774-00-00			philosopher	Rennes, France	Montreuil-Bellay, France
Desmarest	Nicolas Desmarest	Male	1725	1725-00-00			1815	1815-00-00			geologist	Soulaines, France	Paris, France
Desmoulins	 Desmoulins carme, chapelain des dames de Hautes Bruyères 	Male											
Despiau	Jean Despiau	Male	1736	1736-00-00			1807	1807-00-00			professor of Philosophy		
Diderot	Denis Diderot	Male	1713	1713-00-00			1784	1784-00-00			philosopher, art critic, writer, co-founder, chief editor of and contributor to the Encyclopédie	Langres, France	Paris, France
Dotteville	Jean-Henri Dotteville	Male	1716	1716-00-00			1807	1807-00-00			oratorien	Palaiseau, France	Versailles, France
Du Deffand	Marie Du Deffand marquise de Vichy-Chamrond madame du Deffand, Marie Anne de Vichy-Chamrond, marquise du Deffand	Female	1697	1697-00-00			1780	1780-00-00			hostess and patron of the arts	Ligny-en-Brionnais, France	Paris, France
Du Plessis d'Argentré	Louis-Charles Du Plessis d'Argentré évêque de Limoges 	Male	1723	1723-00-00			1808	1808-00-00					
Du Tour de Salvert	Etienne-François Du Tour de Salvert	Male	1711	1711-00-00			1789	1789-00-00			physicist		
Dubesset	 Dubesset	Male											
Ducharger	Jean-Jacques Ducharger::Jean-Jacques de Chargey dit Ducharger	Male											
Duché	Jacques-Joseph-Marie-Xavier Duché	Male	1721	1721-00-00			1801	1801-00-00			public officer		
Duclos Madame	 Duclos Madame	Female											
Ducrest	Jean-Jacques Ducrest	Male	1766	1766-00-00			1828	1828-00-00					
Dugast de la Bartherie	 Dugast de la Bartherie	Male											
Dulaure	Jacques-Antoine Dulaure	Male	1755	1755-00-00			1835	1835-00-00					
Duplain	Joseph Duplain 	Male	1748 ?	1748-00-00			1794	1794-00-00					
Duras	Jean-Baptiste Duras duc de Duras Jean-Baptiste de Durfort, duc de Duras	Male	1684	1684-00-00			1770	1770-00-00					
Durival Jean	Jean Durival 	Male	1725	1725-00-00			1810	1810-00-00			historian	Saint-Aubin-sur-Aire, France	Heillecourt, France
Durival Nicolas	Nicolas Durival 	Male	1713	1713-00-00			1795	1795-00-00			government official and historian	Commercy, France	Heillecourt, France
Dusaulx	Jean-Joseph Dusaulx	Male	1728	1728-00-00			1799	1799-00-00					
Dutens	Louis Dutens	Male	1730	1730-00-00			1812	1812-00-00			writer	Tours, France	London, England
Duval-Pyrau	Henri-François Duval-Pyrau abbé Duval-Pyrau Henri-François Pyrard dit Duval-Pyrau	Male	1737	1737-00-00			1800	1800-00-00					
Duval	Pierre Duval	Male	1730	1730-00-00			1797	1797-00-00					
Duvernet	Théophile Duvernet::Théophile Imarigeon dit Duvernet	Male	1730	1730-00-00			1796	1796-00-00					
Encontre	Daniel Encontre	Male	1762	1762-00-00			1818	1818-00-00					
Epinay Madame d'	Louise-Florence-Pétronille Epinay Madame d' épouse de Denis-Joseph de Lalive d'Epinay Louise-Florence-Pétronille de Tardieu d'Esclavelles	Female	1726	1726-00-00			1783	1783-00-00					
Erbach	Franz Erbach  Graf zu Erbach graf zu Erbach, comte d'Erbach	Male	1754	1754-00-00			1823	1823-00-00					
Escherny	François-Louis Escherny comte d'Escherny 	Male	1733	1733-00-00			1815	1815-00-00					
Espagnac Jean-Baptiste-Joseph	Jean-Baptiste-Joseph Espagnac  baron d'Espagnac Jean-Baptiste-Joseph d'Amarzit de Sahuguet	Male	1713	1713-00-00			1783	1783-00-00					
Espagnac Marc-René	Marc-René Espagnac  abbé d'Espagnac Marc-René d'Amarzit de Sahuguet	Male	1753	1753-00-00			1794	1794-00-00				Brive, France	Paris, France
Etampes	Charles-Louis Etampes  marquis d'Etampes 	Male	1734	1734-00-00			1815	1815-00-00					
Euler J.-A.	Johann Albrecht Euler ::Johann Albrecht, Johann Albert Euler, John-Albert Euler	Male	1734	1734-00-00			1800	1800-00-00			astronomer and mathematician	Saint Petersburg, Russia	Saint Petersburg, Russia
Euler L.	Leonhard Euler	Male	1707	1707-00-00			1783	1783-00-00			mathematician and physicist	Basel, Switzerland	Saint Petersburg, Russian Empire
Fabroni	Angelo Maria Fabroni	Male	1731	1731-00-00			1803	1803-00-00			biographer and historian	Marradi, Italy	Pisa, Italy
Falconet	Etienne-Maurice Falconet	Male	1716	1716-00-00			1791	1791-00-00			Rococo sculptors	Paris, France	
Ferdinand	 Ferdinand  duc de Parme, Duke of Parma from 1765 to 1802 Duke of Parma, Ferdinand Maria Philip Louis Sebastian Francis James of Parma	Male	1751	1751-00-00			1802	1802-00-00			Duke of Parma, Piacenza and Guastalla, (18 July 1765–9 October 1802)	Ducal Palace of Colorno, Parma, Italy	Fontevivo, Modern day Italy
Flechier	 Fléchier neveu de l'évêque de Nîmes Esprit Fléchier 	Male											
Formey	Jean-Henri-Samuel Formey::Johann Heinrich Samuel Formey	Male	1711	1711-00-00			1797	1797-00-00			author, journalist and editor	Berlin, Prussia, today Germany	
Formont	Jean-Baptiste-Nicolas Formont	Male	1694	1694-00-00			1758	1758-00-00			poet, censor		
Franklin	Benjamin Franklin	Male	1706	1706-00-00			1790	1790-00-00			scientist, writer, politician	Boston, USA	Philadelphia, USA
Frisi	Paolo Frisi	Male	1728	1728-00-00			1784	1784-00-00			mathematician and astronomer	Melegnano, Italy	Milan, Italy
Fromant	Charles-Paul Fromant abbé Fromant 	Male	1715	1715-00-00			1783	1783-00-00					
Frédéric II	 Fréderic II roi de Prusse, King of Prussia, Elector of Brandenburg Frédéric II de Prusse, dit Frédéric le Grand (en allemand, Friedrich der Große)	Male	1712	1712-00-00			1786	1786-00-00			King of Prussia, Elector of Brandenburg, (31 May 1740 – 17 August 1786)		
Fuentes	Joaquin Atanasio Fuentes  comte de Fuentes Joaquin Atanasio Pignatelli	Male	c. 1724	1724-00-00			1776	1776-00-00					
Gadbled	Christophe Gadbled	Male	1734	1734-00-00			1782	1782-00-00					
Gagnière	Pierre-Joachim Gagnière	Male	1731	1731-00-00			1800	1800-00-00					
Gaigne (Gagne)	Alexis-Toussaint Gaigne::Alexis-Toussaint de Gaigne	Male	c. 1740	1740-00-00			1816	1816-00-00					
Gail	Jean-Baptiste Gail	Male	1755	1755-00-00			1829	1829-00-00					
Galiani	Ferdinando Galiani abbé Galiani 	Male	1728	1728-00-00			1787	1787-00-00			economist, a leading Italian figure of the Enlightenment	Chieti, Italy	Naples, Italy
Gandini	Carlo Gandini	Male	1705	1705-00-00			1788	1788-00-00					
Garat	Dominique-Joseph Garat	Male	1749	1749-00-00			1833	1833-00-00					
Geoffrin Madame	Marie-Thérèse Geoffrin Madame::Marie-Thérèse Rodet, Mme Geoffrin	Female	1699	1699-00-00			1777	1777-00-00			Parisian salonnière		
Georgelin	Barthélemy-Pélage Georgelin ::Georgelin Barthélemy-Pélage, sieur du Cosquer	Male	1740	1740-00-00			an VI						
Germanes	Barthélemy Germanes abbé de Germanes  	Male											
Gilleman	 Gilleman chevalier de Gilleman, officier du corps du génie 	Male									officer		
Ginguené	Pierre-Louis Ginguené	Male	1748	1748-00-00			1816	1816-00-00					
Grandjean de Fouchy Madame	Marie-Madeleine Grandjean de Fouchy Madame épouse de Grandjean de Fouchy Marie-Madeleine Desportes de Pardailhan, madame Grandjean de Fouchy	Female											
Grandjean de Fouchy	Jean-Paul Grandjean de Fouchy	Male	1707	1707-00-00			1788	1788-00-00			astronomer	Paris, France	Paris, France
Grosier	Jean-Baptiste Grosier abbé Grosier 	Male	1743	1743-00-00			1823	1823-00-00					
Grosley	Pierre-Jean Grosley	Male	1718	1718-00-00			1785	1785-00-00			man of letters, local historian, travel writer and observer of social mores	Troyes, France	
Guibert	Jacques-Antoine-Hippolyte Guibert comte de Guibert 	Male	1743	1743-00-00			1790	1790-00-00					
Guigon	 Guigon (Guigont) maître de chapelle à Agde Guigon, Guigont	Male									choirmaster		
Gunnerus	Johan Ernst Gunnerus	Male	1718	1718-00-00			1773	1773-00-00					
Gustave III	 Gustave III  roi de Suède Gustav III of Sweden	Male	1746	1746-00-00			1792	1792-00-00			King of Sweden (12 February 1771 – 29 March 1792)	Stockholm, Sweden	Stockholm, Sweden
Guyot	Guillaume-Germain Guyot abbé Guyot 	Male	1724	1724-00-00			1793	1793-00-00					
Guérin de Vence	 Guérin de Vence	Male											
Haller	Gottlieb Emanuel Haller ::Gottlieb Emanuel von Haller	Male	1735	1735-00-00			1786	1786-00-00				Bern, Switzerland	
Hebert	Antoine-François Hebert	Male	1709	1709-00-00			1795	1795-00-00					
Helvétius	Claude-Adrien Helvétius	Male	1715	1715-00-00			1771	1771-00-00			philosopher and littérateur	Paris, France	
Hemsterhuys (Hemsterhuis)	Franciscus Hemsterhuys (Hemsterhuis)::Hemsterhuys, Hemsterhuis	Male	1721	1721-00-00			1790	1790-00-00					
Hennert	Johann-Friedrich Hennert	Male	1733	1733-00-00			1813	1813-00-00					
Herten (Horten)	Jean-Baptiste Herten (Horten)::Jean-Baptiste Guéroult d'Herten,Jean-Baptiste Guéroult d' Horten	Male											
Hess	Heinrich Ludwig Hess::Heinrich Ludwig von Hess	Male	1719	1719-00-00			1782	1782-00-00					
Hollé	 Hollé	Male									professor of mathematics		
Hornoy	Alexandre-Marie-François Hornoy::Alexandre-Marie-François de Paule de Dompierre d'Hornoy	Male	1742	1742-00-00			1828	1828-00-00					
Hume David	David Hume	Male	1711	1711-00-00			1776	1776-00-00			philosopher, historian, economist, and essayist	Edinburgh, Scotland	Edinburgh, Scotland
Hume John	John Hume  frère et héritier de David Hume John Home of Ninewells	Male	1709	1709-00-00			1786	1786-00-00					
Hénault	Charles-Jean-François Hénault	Male	1685	1685-00-00			1770	1770-00-00			writer and historian	Paris, France	Paris, France
Jabineau de la Voute	Pierre Jabineau de la Voute	Male	1721	1721-00-00							lawyer, author		
Jacques	Mathieu-Joseph Jacques abbé Jacques 	Male	1736	1736-00-00			1821	1821-00-00					
Jacquier	François Jacquier père Jacquier 	Male	1711	1711-00-00			1788	1788-00-00					
Joly	Philippe-Louis Joly	Male	1712	1712-00-00			1782	1782-00-00					
Joseph II	 Joseph II empereur en 1765 Joseph Benedikt August Johannes Anton Michael Adam	Male	1741	1741-00-00			1790	1790-00-00			Holy Roman Emperor from 1765 to 1790 and ruler of the Habsburg lands from 1780 to 1790	Schönbrunn Palace, Austria	Vienna, Austria
Keith	George Keith 10th Earl Marischal George Keith, dit Milord Maréchal	Male	1693	1693-00-00			1778	1778-00-00			army officer and diplomat	Inverugie Castle, Scotland	Postdam, Germany
La Chalotais	Louis-René  La Chalotais::Louis-René de Caradeuc de La Chalotais	Male	1701	1701-00-00			1785	1785-00-00					
La Condamine Madame de	Charlotte  La Condamine épouse de Charles-Marie de La Condamine Charlotte Bouzier d'Estouilly de La Condamine	Female											
La Condamine	Charles-Marie La Condamine::Charles-Marie de La Condamine	Male	1701	1701-00-00			1774	1774-00-00			explorer, geographer, and mathematician	Paris, France	Paris, France
La Ferté-Imbault	Marie-Thérèse La Ferté-Imbault marquise de La Ferté-Imbault Marie-Thérèse Geoffrin, marquise de la Ferté-Imbault	Female	1715	1715-00-00			1791	1791-00-00				Paris, France	Paris, France
La Maillardière	Charles-François La Maillardière vicomte de La Maillardière Charles-François Lefèvre, vicomte de La Maillardière	Male	?				1804	1804-00-00					
La Motte	Ludwig Alexander La Motte	Male	1748	1748-00-00			1798	1798-00-00			professor	Freudenstadt, Germany	
La Tour	Maurice-Quentin La Tour ::Maurice-Quentin de La Tour	Male	1704	1704-00-00			1788	1788-00-00					
La Ville	Jean-Ignace La Ville dit l'abbé de La Ville Jean-Ignace Vielle dit l'abbé de La Ville	Male	1702	1702-00-00			1774	1774-00-00					
La borde	Jean-Benjamin La borde::Jean-Benjamin de La Borde	Male	1734	1734-00-00			1794	1794-00-00					
Lacretelle	Pierre-Louis Lacretelle	Male	1751	1751-00-00			1824	1824-00-00					
Lacépède	Bernard-Germain-Etienne Lacépède comte de Lacépède Bernard-Germain-Etienne de Laville, comte de Lacépède	Male	1756	1756-00-00			1825	1825-00-00					
Lafoes	Joao Carlos Lafoes duc de Lafoes Joao Carlos de Bragança e Ligne de Sousa Tavares Mascarenhas da Silva	Male	1719	1719-00-00			1806	1806-00-00					
Lagrange Giuseppe Francesco	Giuseppe Francesco Lodovico Lagrange père de Joseph-Louis 	Male	1708	1708-00-00			1803	1803-00-00					
Lagrange Giuseppe Luigi	Giuseppe Luigi (Joseph-Louis) Lagrange  fils de Giuseppe Francesco Lodovico Giuseppe Lodovico (Luigi) Lagrangia	Male	1736	1736-00-00			1813	1813-00-00			mathematician and astronomer	Turin, Italy	Paris, France
