Raw	City	Country	Region	Coords
Stoke Poges, Buckinghamshire, England	Stoke Poges	England	Buckinghamshire	51.5167, -0.5833
Brugg, canton of Aargau, Switzerland	Brugg	Switzerland	canton of Aargau	47.4838008674, 8.20781707764
Kilkenny, county Kilkenny, Ireland	Kilkenny	Ireland	county Kilkenny	52.6548611111, -7.25025
Choully, Marne, France	Choully	France	Marne	49.0253,4.01426
Oxford?, Oxfordshire, England	Oxford?	England	Oxfordshire	51.7511111111, -1.25583333333
Barrowby, near Grantham, Lincolnshire, England	Barrowby, near Grantham	England	Lincolnshire	52.9142, -0.6928
Neuchâtel, canton of Neuchâtel, Switzerland	Neuchâtel	Switzerland	canton of Neuchâtel	46.99034000,6.93109000
Villars, Vaucluse, France	Villars	France	Vaucluse	43.92387,5.40556
Plymouth, Massachusetts, United States of America	Plymouth	United States of America	Massachusetts	50.3705555556, -4.13972222222
Jarville-la-Malgrange, Meurthe-et-Moselle, France	Jarville-la-Malgrange	France	Meurthe-et-Moselle	48.66907,6.20636
Stuttgart, Baden-Württemberg, Germany	Stuttgart	Germany	Baden-Württemberg	48.78330000,9.20000000
Vienne, Isère, France	Vienne	France	Isère	45.52209000,4.87233000
Tongres, province of Limbourg, Belgium	Tongres	Belgium	province of Limbourg	50.78072000,5.46362000
Zweibrücken, Rhineland-Palatinate, Germany	Zweibrücken	Germany	Rhineland-Palatinate	49.38568000,8.57064000
Vendeuvre-sur-Barse, Aube, France	Vendeuvre-sur-Barse	France	Aube	48.23786,4.46905
Carman, Alsace region, France	Carman	France	Alsace region	46.71244800,1.71832000
Peterhof, near St Petersburg, Leningrad province, Russia	Peterhof, near St Petersburg	Russia	Leningrad province	59.88333,29.9
Moscow, Central district, Russia	Moscow	Russia	Central district	55.75222,37.61556
Château-Thierry, Aisne, France	Château-Thierry	France	Aisne	49.04404000,3.40030000
Radeburg, Saxony, Germany	Radeburg	Germany	Saxony	51.21516,13.7281
Brescia, Lombardy, Italy	Brescia	Italy	Lombardy	45.53662000,10.23203000
Argenteuil, near Paris, Ile-de-France, France	Argenteuil, near Paris	France	Ile-de-France	48.9486, 2.2483
Aleppo, Aleppo governorate, Syria	Aleppo	Syria	Aleppo governorate	36.2, 37.15
Quito, Pichincha, Ecuador	Quito	Ecuador	Pichincha	-0.22950000,-78.52428000
Charleville, Marne, France	Charleville	France	Marne	48.8166666667, 3.66666666667
Saint Kitts, West Indies		West Indies	Saint Kitts and Nevis	17.2827369048, -62.7182130952
Toulouse, Haute-Garonne, France	Toulouse	France	Haute-Garonne	43.60574000,1.44869000
Suffolk, England		England	Suffolk	52.0561, 1.1497
Erlangen, Bavaria, Germany	Erlangen	Germany	Bavaria	49.58972,11.00389
Murten/Morat, canton of Fribourg, Switzerland	Murten/Morat	Switzerland	canton of Fribourg	46.92827,7.11715
Solothurn/Soleure, canton of Solothurn, Switzerland	Solothurn/Soleure	Switzerland	canton of Solothurn	47.208,7.537
Hampshire, England		England	Hampshire	51.0597, -1.31
Kent, England		England	Kent	51.2878, 0.0565
Genoa, Liguria, Italy	Genoa	Italy	Liguria	44.41034000,8.93890000
Angers, Maine-et-Loire, France	Angers	France	Maine-et-Loire	47.47131000,-0.55237000
near Lausanne, canton of Vaud, Switzerland	near Lausanne	Switzerland	canton of Vaud	46.516,6.63282
Montmorency, Val-d'Oise, France	Montmorency	France	Val-d'Oise	48.98826,2.3434
Meissen, Saxony, Germany	Meissen	Germany	Saxony	51.16158,13.4737
Ireland		Ireland		52.6463722222, -7.48976333333
Huningue, Haut-Rhin, France	Huningue	France	Haut-Rhin	47.60477,7.57782
Portsmouth, New Hampshire, United States of America	Portsmouth	United States of America	New Hampshire	36.8354258, -76.2982742
near Geneva, canton of Geneva, Switzerland	near Geneva	Switzerland	canton of Geneva	46.20222,6.14569
Bermuda		Bermuda		32.3, -64.7833333333
Schlestat, Haut-Rhin, France	Schlestat	France	Haut-Rhin	48.26667,7.45
Potsdam, Brandenburg, Germany	Potsdam	Germany	Brandenburg	52.39886,13.06566
Wilsdruff, Saxony, Germany	Wilsdruff	Germany	Saxony	51.05,13.53333
Cork, county Cork, Ireland	Cork	Ireland	county Cork	51.9, -8.47305555556
near Strasbourg, Bas-Rhin, France	near Strasbourg	France	Bas-Rhin	48.58508000,7.73643000
Amsterdam, North Holland, Netherlands	Amsterdam	Netherlands	North Holland	52.37312000,4.89320000
Frankfurt am Main, Hesse, Germany	Frankfurt am Main	Germany	Hesse	50.11203000,8.68340000
Kazan, Republic of Tatarstan, Russia	Kazan	Russia	Republic of Tatarstan	55.78874,49.12214
Bayreuth, Bavaria, Germany	Bayreuth	Germany	Bavaria	49.94519000,11.57102000
Middelburg, Zeeland, Netherlands	Middelburg	Netherlands	Zeeland	51.49542000,3.60962000
Gera, Thuringia, Germany	Gera	Germany	Thuringia	50.88029,12.08187
Montélimar, Drôme, France	Montélimar	France	Drôme	44.55559000,4.74916000
St-Claude, Jura, France	St-Claude	France	Jura	46.39291000,5.86450000
Rheinsberg, Brandenburg, Germany	Rheinsberg	Germany	Brandenburg	53.098333, 12.895833
Olau, Poland	Olau	Poland		47.75916000,11.53036000
Strasbourg, Bas-Rhin, France	Strasbourg	France	Bas-Rhin	48.58508000,7.73643000
Charleston, South Carolina, United States of America	Charleston	United States of America	South Carolina	32.76670000,-79.91670000
Leicestershire, England		England	Leicestershire	52.7166666667, -1.18333333333
Fridrichswerth, near Gotha, Thuringia, Germany	Fridrichswerth, near Gotha	Germany	Thuringia	50.94823,10.70193
Roches, canton of Bern, Switzerland	Roches	Switzerland	canton of Bern	47.302,7.381
Ferney, Ain, France	Ferney	France	Ain	46.255833,6.108056
Lewes, East Sussex, England	Lewes	England	East Sussex	50.8744445736, 0.0175094604492
Madrid, province of Madrid, Spain	Madrid	Spain	province of Madrid	40.42030000,-3.70577000
Prangins, canton of Vaud, Switzerland	Prangins	Switzerland	canton of Vaud	46.40000000,6.25000000
Nyon, canton of Vaud, Switzerland	Nyon	Switzerland	canton of Vaud	46.38318,6.23955
near Mainz, Rhineland-Palatinate, Germany	near Mainz	Germany	Rhineland-Palatinate	50.00056000,8.27232000
Prigny, Alsace region, France	Prigny	France	Alsace region	47.06673,-1.9808
London, Greater London, England	London	England	Greater London	51.50633000,-0.12714000
Cambridge, Cambridgeshire, England	Cambridge	England	Cambridgeshire	51.73333,-2.36667
Bath, Somerset, England	Bath	England	Somerset	51.38503000,-2.36132400
Monquin, near Bourgoin-Jallieu, Isère, France	Monquin, near Bourgoin-Jallieu	France	Isère	45.7669, 4.8342
Prégny-Chambésy, canton of Geneva, Switzerland	Prégny-Chambésy	Switzerland	canton of Geneva	46.24330000,6.14695000
Kaliningrad, Kaliningrad province, Russia	Kaliningrad	Russia	Kaliningrad province	54.70649,20.51095
Les Loges, France	Les Loges	France		49.0438888889, -0.805
Sceaux, Hauts-de-Seine, France	Sceaux	France	Hauts-de-Seine	48.77644,2.29026
Eartham, near Chichester, West Sussex, England	Eartham, near Chichester	England	West Sussex	50.8667, -0.6833
Belvoir Castle, Lincolnshire, England	Belvoir Castle	England	Lincolnshire	52.8833, -0.7833
Bar-le-Duc, Meuse, France	Bar-le-Duc	France	Meuse	48.78333,5.16667
Aix-en-Provence, Bouches-du-Rhône, France	Aix-en-Provence	France	Bouches-du-Rhône	43.52641000,5.44625000
Nysa, Opole, Poland	Nysa	Poland	Opole	50.47379,17.33437
The Hague, South Holland, Netherlands	The Hague	Netherlands	South Holland	52.07667,4.29861
Perpignan, Pyrénées-Orientales, France	Perpignan	France	Pyrénées-Orientales	42.70000000,2.90000000
Chantilly, Oise, France	Chantilly	France	Oise	49.1916,2.4852
Fanne, Friuli-Venezia Giulia, Italy	Fanne	Italy	Friuli-Venezia Giulia	45.57950000,10.96410000
Pontoise, Paris, Ile-de-France, France	Pontoise, Paris	France	Ile-de-France	49.05,2.1
Czarskoe Selo/Pushkin, St Petersburg, Russia	Czarskoe Selo/Pushkin	Russia	St Petersburg	59.7233,30.4158
Bologna, Emilia-Romagna, Italy	Bologna	Italy	Emilia-Romagna	44.50483000,11.34517000
Toulon, Var, France	Toulon	France	Var	43.12532500,5.93030500
Bourg-en-Bresse, Ain, France	Bourg-en-Bresse	France	Ain	46.20574,5.2258
Bergamo, Lombardy, Italy	Bergamo	Italy	Lombardy	45.69522000,9.66948000
Herendorf, Silesia, Poland	Herendorf	Poland	Silesia	52.886389, 14.715
Wittenberg, Saxony-Anhalt, Germany	Wittenberg	Germany	Saxony-Anhalt	51.88330000,12.65000000
Gravelines, Flandre, France	Gravelines	France	Flandre	50.98651,2.12807
Aachen, North Rhine-Westphalia, Germany	Aachen	Germany	North Rhine-Westphalia	50.77814000,6.08849000
Albi, Tarn, France	Albi	France	Tarn	43.92621000,2.14838000
Modena, Emilia-Romagna, Italy	Modena	Italy	Emilia-Romagna	44.64308000,10.93406000
Kosel, Schleswig-Holstein, Germany	Kosel	Germany	Schleswig-Holstein	54.5,9.76667
Bordeaux, Gironde, France	Bordeaux	France	Gironde	44.83663500,-0.58103900
Brussels, Brussels capital region, Belgium	Brussels	Belgium	Brussels capital region	50.85045,4.34878
Kirkcaldy, Fife, Scotland	Kirkcaldy	Scotland	Fife	56.1120644275, -3.1595993042
Cideville, Seine-Maritime, France	Cideville	France	Seine-Maritime	49.61702,0.89803
Wassy, Haute-Marne, France	Wassy	France	Haute-Marne	52.08399000,4.31742000
Montbéliard, Doubs, France	Montbéliard	France	Doubs	47.50862000,6.80297000
Olomouc, Olomouc region, Czech Republic	Olomouc	Czech Republic	Olomouc region	49.59552,17.25175
Morges, canton of Vaud, Switzerland	Morges	Switzerland	canton of Vaud	46.51127,6.49854
Hertfordshire, England		England	Hertfordshire	51.8401055, -0.2750052
château de Lumigny, near Rozay-en-Brie, Seine-et-Marne, France	château de Lumigny, near Rozay-en-Brie	France	Seine-et-Marne	48.6841666667, 2.95916666667
Passy, Paris, Ile-de-France, France	Passy, Paris	France	Ile-de-France	48.85667000,2.35099000
Belley, Ain, France	Belley	France	Ain	45.76667,5.68333
Forges-les-Eaux, Seine-Maritime, France	Forges-les-Eaux	France	Seine-Maritime	49.61391,1.54449
Ile St-Pierre, lac de Bienne, canton of Bern, Switzerland	Ile St-Pierre, lac de Bienne	Switzerland	canton of Bern	47.07188,7.143
Gournay-sur-Marne, Seine-Saint-Denis, France	Gournay-sur-Marne	France	Seine-Saint-Denis	48.86373000,2.57528000
Bolkenhain, Silesia, Poland	Bolkenhain	Poland	Silesia	50.92203,16.10111
Basle, Basel-Stadt, Switzerland	Basle	Switzerland	Basel-Stadt	47.5584,7.57327
Worcestershire, England		England	Worcestershire	52.21094875, -2.2103767
Navarre, Spain		Spain	Navarre	42.66670000,-1.50000000
Mainz, Rhineland-Palatinate, Germany	Mainz	Germany	Rhineland-Palatinate	50.00056000,8.27232000
Enfield, Greater London, England	Enfield	England	Greater London	51.6, -0.0833
Copenhagen, Hovedstaden, Denmark	Copenhagen	Denmark	Hovedstaden	55.67631100,12.56935000
Belgium		Belgium		50.83333,4
Sanssouci, Potsdam, Brandenburg, Germany	Sanssouci, Potsdam	Germany	Brandenburg	52.403333, 13.038611
Dunbartonshire, Scotland		Scotland	Dunbartonshire	55.96, -4.53
Zeeland, Netherlands		Netherlands	Zeeland	51.41667,3.75
Germany		Germany		51.31893000,9.49601000
Leiden, South Holland, Netherlands	Leiden	Netherlands	South Holland	52.15833,4.49306
Dublin, county of Dublin, Ireland	Dublin	Ireland	county of Dublin	53.3428, -6.2661
Chouilly, Marne, France	Chouilly	France	Marne	49.0253,4.01426
Massachusetts, United States of America		United States of America	Massachusetts	42.3, -71.8
Champs-sur-Marne, Seine-et-Marne, France	Champs-sur-Marne	France	Seine-et-Marne	48.85,2.6
Liège, province of Liège, Belgium	Liège	Belgium	province of Liège	50.6400989524, 5.57247161865
Philippsbourg, Moselle, France	Philippsbourg	France	Moselle	48.98327,7.56847
Hamburg, state of Hamburg, Germany	Hamburg	Germany	state of Hamburg	53.55,10
Bourdigny, canton of Geneva, Switzerland	Bourdigny	Switzerland	canton of Geneva	46.22477,6.0393
France		France		46.0, 2.0
York, Yorkshire, England	York	England	Yorkshire	53.95, -1.08333333333
Doullens, Somme, France	Doullens	France	Somme	50.15724,2.34019
Bois de Vaud, canton of Vaud, Switzerland	Bois de Vaud	Switzerland	canton of Vaud	46.31692,6.1367
Rome, Lazio, Italy	Rome	Italy	Lazio	41.90311000,12.49576000
Rouen, Seine-Maritime, France	Rouen	France	Seine-Maritime	49.44038000,1.08933000
Florence, Tuscany, Italy	Florence	Italy	Tuscany	43.78300000,11.25000000
Charlottenburg, Berlin, state of Berlin, Germany	Charlottenburg, Berlin	Germany	state of Berlin	52.521111, 13.295833
Drottningholm, Stockholm County, Sweden	Drottningholm	Sweden	Stockholm County	59.32513,17.8878
Jever, East Frisia, Germany	Jever	Germany	East Frisia	53.58333,7.9
Padua, Veneto, Italy	Padua	Italy	Veneto	45.41670000,11.88330000
Croissy-Beaubourg, Seine-et-Marne, France	Croissy-Beaubourg	France	Seine-et-Marne	48.82852000,2.65933000
Shropshire, England		England	Shropshire	52.652359, -2.73421695
Turin, Piedmont, Italy	Turin	Italy	Piedmont	45.06951200,7.70540300
Rammenau, Saxony, Germany	Rammenau	Germany	Saxony	53.09972,12.89885
Landrecies, Nord, France	Landrecies	France	Nord	50.12491000,3.68928000
near Rotterdam, South Holland, Netherlands	near Rotterdam	Netherlands	South Holland	51.9225,4.47917
Montigny, France	Montigny	France		49.0461111111, -0.530555555556
Launay, Seine-Maritime, France	Launay	France	Seine-Maritime	49.52986,1.49629
Avignon, Vaucluse, France	Avignon	France	Vaucluse	43.94876000,4.80602000
Stockholm, Stockholm County, Sweden	Stockholm	Sweden	Stockholm County	59.33216900,18.06242900
New Providence, Bahamas		Bahamas	New Providence	25.0333, -77.4
Reims, Marne, France	Reims	France	Marne	49.25,4.03333
Loisey, near Bar-le-Duc, Meuse, France	Loisey, near Bar-le-Duc	France	Meuse	48.76667,5.28333
Les Délices, near Geneva, canton of Geneva, Switzerland	Les Délices, near Geneva	Switzerland	canton of Geneva	46.2, 6.15
Gex, Ain, France	Gex	France	Ain	46.33333,6.06667
Rolle, canton of Vaud, Switzerland	Rolle	Switzerland	canton of Vaud	46.458,6.335
Castres, Tarn, France	Castres	France	Tarn	43.60795000,2.24204000
Russia		Russia		54.8270488441, 55.0423189997
Grenoble, Isère, France	Grenoble	France	Isère	45.18330000,5.71670000
Utrecht, province of Utrecht, Netherlands	Utrecht	Netherlands	province of Utrecht	52.08330000,5.13330000
Versailles, Yvelines, France	Versailles	France	Yvelines	48.80193500,2.13112000
Prangins, near Nyon, canton of Vaud, Switzerland	Prangins, near Nyon	Switzerland	canton of Vaud	46.39396,6.24948
Switzerland		Switzerland		46.8637302701, 8.10284233333
Nauen, Brandenburg, Germany	Nauen	Germany	Brandenburg	52.60701,12.87374
Cassel, Hesse, Germany	Cassel	Germany	Hesse	50.43333,7.06667
Uppsala, Uppsala County, Sweden	Uppsala	Sweden	Uppsala County	59.8586, 17.6389
Little Gaddesden, Hertfordshire, England	Little Gaddesden	England	Hertfordshire	51.8, -0.55
Cleve/Kleve, North Rhine-Westphalia, Germany	Cleve/Kleve	Germany	North Rhine-Westphalia	51.78333,6.15
Trier, Rhineland-Palatinate, Germany	Trier	Germany	Rhineland-Palatinate	49.75726000,6.63652000
Senones, Vosges, France	Senones	France	Vosges	48.39475,6.97818
Mousson, Aube, France	Mousson	France	Aube	48.33283,4.03782
Clermont-Ferrand, Puy-de-Dôme, France	Clermont-Ferrand	France	Puy-de-Dôme	45.77762000,3.08183000
Leipzig, Saxony, Germany	Leipzig	Germany	Saxony	51.34482000,12.38552000
Gotha, Thuringia, Germany	Gotha	Germany	Thuringia	50.94961000,10.70868000
Pavia, Lombardy, Italy	Pavia	Italy	Lombardy	45.19082000,9.15046000
Franconville, Val-d'Oise, France	Franconville	France	Val-d'Oise	48.50059000,6.45042000
Lausanne, canton of Vaud, Switzerland	Lausanne	Switzerland	canton of Vaud	46.516,6.63282
Herefordshire, England		England	Herefordshire	52.11070075, -2.7400967
Essex, England		England	Essex	51.77192525, 0.63849205
Gelderland/Guelders, Netherlands		Netherlands	Gelderland	51.9809054483, 5.72245453668
Naples, Campania, Italy	Naples	Italy	Campania	40.83990000,14.25185000
Angoulême, Charente, France	Angoulême	France	Charente	45.64924000,0.15699000
Vabern, near Cassel, Hesse, Germany	Vabern, near Cassel	Germany	Hesse	50.43333,7.06667
Strzelin/Strehlen, Lower Silesia, Poland	Strzelin/Strehlen	Poland	Lower Silesia	53.18333,11.8
Virginia, United States of America		United States of America	Virginia	37.6666466469, -78.6145553005
Lunéville, Meurthe-et-Moselle, France	Lunéville	France	Meurthe-et-Moselle	48.59306000,6.49027000
Geneva, canton of Geneva, Switzerland	Geneva	Switzerland	canton of Geneva	46.20835800,6.14270100
Magdeburg, Saxony-Anhalt, Germany	Magdeburg	Germany	Saxony-Anhalt	52.16667,11.66667
Selibice, Central Bohemia, Czech Republic	Selibice	Czech Republic	Central Bohemia	50.34316,13.61292
Etiolles, Essonne, France	Etiolles	France	Essonne	48.63682000,2.47236000
Monrepos, Ludwigsburg, Baden-Württemberg, Germany	Monrepos, Ludwigsburg	Germany	Baden-Württemberg	48.92236000,9.16765000
Venice, Veneto, Italy	Venice	Italy	Veneto	45.43,12.33
Wimpole, Cambrigeshire, England	Wimpole	England	Cambrigeshire	52.14, -0.046
Chernyakhovsk, Kaliningrad province, Russia	Chernyakhovsk	Russia	Kaliningrad province	54.63345,21.81557
Bergues-St Winox, Nord, France	Bergues-St Winox	France	Nord	50.96890000,2.43256000
Brunswick, Lower Saxony, Germany	Brunswick	Germany	Lower Saxony	52.26667,10.53333
Andover, Massachusetts, United States of America	Andover	United States of America	Massachusetts	51.2167, -1.4667
near Colmar, Haut-Rhin, France	near Colmar	France	Haut-Rhin	48.08333,7.36667
Enghien-les-Bains, Val-d'Oise, France	Enghien-les-Bains	France	Val-d'Oise	48.96667,2.31667
Closeburn Castle, Dumfriesshire, Scotland	Closeburn Castle	Scotland	Dumfriesshire	55.2113888889, -3.71861111111
Spain or Portugal		Spain or Portugal		40,-4
Connecticut, United States of America		United States of America	Connecticut	41.6, -72.7
Lille, Nord, France	Lille	France	Nord	50.63718500,3.06281000
Devon, England		England	Devon	50.723957, -3.71882645
St-Malo, Ille-et-Vilaine, France	St-Malo	France	Ille-et-Vilaine	48.65,-2.01667
Wesel, North Rhine-Westphalia, Germany	Wesel	Germany	North Rhine-Westphalia	51.66667,6.61667
Calais, Pas-de-Calais, France	Calais	France	Pas-de-Calais	50.95308000,1.85305000
Ruppin, Brandenburg, Germany	Ruppin	Germany	Brandenburg	52.94833,12.848
Montauban, Tarn-et-Garonne, France	Montauban	France	Tarn-et-Garonne	44.01676000,1.35221000
La Roche-Guyon, Val-d'Oise, France	La Roche-Guyon	France	Val-d'Oise	49.08144000,1.63036000
Hundsfeld, Bavaria, Germany	Hundsfeld	Germany	Bavaria	50.06667,9.86667
Melun, Seine-et-Marne, France	Melun	France	Seine-et-Marne	48.53333,2.66667
Reichenbach, near Meiringen, canton of Bern, Switzerland	Reichenbach, near Meiringen	Switzerland	canton of Bern	46.62542,7.69362
England		England		51.18986000,-1.40308000
Mannheim, Baden-Württemberg, Germany	Mannheim	Germany	Baden-Württemberg	49.48651000,8.46678500
Kutna Hora, Central Bohemia, Czech Republic	Kutna Hora	Czech Republic	Central Bohemia	49.94839,15.26816
Dalwitz, Mecklenburg-Vorpommern, Germany	Dalwitz	Germany	Mecklenburg-Vorpommern	53.93368000,12.53656000
Cirey-sur-Blaise, Haute-Marne, France	Cirey-sur-Blaise	France	Haute-Marne	48.33174000,4.94219000
Fontainebleau, Seine-et-Marne, France	Fontainebleau	France	Seine-et-Marne	48.40505000,2.70120000
Baden-Württemberg, Germany		Germany	Baden-Württemberg	48.66192263, 9.00371875
Jersey, Channel Islands		Channel Islands	Jersey	49.1900166667, -2.11
Carmarthen, Carmarthenshire, Wales	Carmarthen	Wales	Carmarthenshire	51.8605, -4.3031
Aubervilliers, Seine-Saint-Denis, France	Aubervilliers	France	Seine-Saint-Denis	48.91339000,2.38254000
Dublin, county Dublin, Ireland	Dublin	Ireland	county Dublin	53.34376500,-6.24952900
Spa, province of Liège, Belgium	Spa	Belgium	province of Liège	50.5,5.866667
Dijon, Côte-d'Or, France	Dijon	France	Côte-d'Or	47.32646000,5.04420000
Louvain, province of Flemish Brabant, Belgium	Louvain	Belgium	province of Flemish Brabant	50.87959,4.70093
Loo, Holland, Netherlands	Loo	Netherlands	Holland	51.92917,5.99028
