FullName	Date of birth	Date of death	EducationInstitute	TeachingPositions	Gender	Place of birth	Place of death	Academies	RelatedTo	Met	Places	Citation	Works written
Élie Diodati	1576	1661			Male	Geneva	Paris			Galileo Galilei	Geneva (1576-00-00,)::Paris (,1661-00-00)	http://brunelleschi.imss.fi.it/itineraries/biography/EliaDiodati.html	
Enea Piccolomini d'Aragona													
Enea Piccolomini d'Aragona													
Enrico Caetani	1550-08-06	1599-12-13			Male								
Esaù del Borgo													
Evangelista Torricelli	1608-10-15	1647-10-25	University of Pisa		Male	Faenza	Florence			Galileo Galilei, Benedetto Castelli, Giovanni Ciampoli, Ferdinando II de' Medici,	Faenza(,)::Marche(,)::Rome(1641-00-00,1641-10-00)::Florence(1641-10-00,)		
Fabiano Colonna													
Pope Alexander VII	1599-02-13	1667-05-22			Male	Siena	Rome						
Fabio Colonna	1567	1650			Male	Naples	Naples						La Sambuca lincea
Fabio da Lagonissa													
Fabrizio Veralli													
Famiglia di Galileo													
Federico Borromeo	1564-08-18	1631-09-22			Male		Milan						
Federico Cesi	1585-02-26	1630-08-01			Male	Rome							
Federico II de’Medici													
Federico Landi													
Federico Borromeo	1564-08-18	1631-09-22			Male		Milan						
Ferdinando Gonzaga													
Ferdinando I de' Medici													
Ferdinando II de’Medici													
Ferdinando Saracinelli													
Filippo Calippi													
Filippo d’Assia													
Filippo Magalotti	1558-11-30				Male				Roberto Magalotti, Dianora Girolami		Valdelsa(1595-00-00,)::Valdelsa(1608-00-00,)		
Filippo Mannucci													
Filippo Mueller													
Filippo Niccolini													
Filippo Salviati	1582	1614-03-22			Male	Florence	Barcelona		Antonio Salviati	Galileo Galilei	Florence(1582-00-00,)::Barcelona(,1614-03-22)		
Filippo Tremazzi													
Flaminio Papazzoni													
Fortunio Liceti	1577	1657	University of Bologna, University of Pisa, University of Padua		Male	Rapallo	Padua			Galileo Galilei	Rapallo(1577-00-00,)::Bologna(,)::Pisa(1600-00-00,1609-00-00)::Padua(1609-00-00,1657-00-00)		
Francesco  di Joyeuse													
Francesco di Sandoval													
Francesco Barberini	1597-09-23	1679-12-10			Male	Florence	Rome						
Francesco Bonciani													
Francesco Boncompagni													
Francesco Cioli													
Francesco Crivelli													
Francesco Cuccini													
Francesco de’ Medici													
Francesco de’ Medici													
Francesco di Sandoval													
Francesco Duodo													
Francesco Galilei													
Francesco Guadagni									Federico Ubaldo della Rovere Duke of Urbino				
Francesco Ingoli													
Francesco Maria Del Monte	1549-07-05	1627-08-17			Male	Venice	Ostia		Guidobaldo del Monte	Caravaggio, Galileo Galilei	Venice(1549-07-05,)::Rome(,)::Ostia(1623-00-00,1626-08-17)		
Francesco Maria II della Rovere	1549-02-20	1631-04-23			Male	Pesaro	Urbania						
Francesco Maria Fiorentini													
Francesco Maria Vialardi													
Francesco Morosini													
Francesco Niccolini	1584	1650			Male				Giovanni Niccolini, Caterina di Francesco Ricciardi	Galileo Galilei, Andrea Cioli, Niccolo Riccardi	Rome(1621-04-15,1643-00--00):Florence(1643-00-00,)		
Francesco Pecci													
Francesco Pinelli													
Francesco Rasi	1574-05-14	1621-11-30	University of Pisa		Male	Arezzo	Mantua						
Francesco Sizzi					Male								
Francesco Stelluti	1577-01-12	1652-11			Male	Fabriano		Accademia dei Lincei		Federico Cesi	Fabriano(1577-01-12,)::Parma(,)::Naples(1610-00-00,)		
Francesco Tengnagel													
Francesco Vendramin													
Francesco Vitelli	1586	1646			Male								
Franciotto Orsini													
Francis Bacon	1561-01-22	1626-04-09	Trinity College Cambridge, University of Poitiers		Male	Strand, London	Highgate						"The New Atlantis, The Charge of Sir Francis Bacon ... Touching Duels, De Augmentis Scientarum, The Proficience and Advancement of Learning, Francisci Baconi, Baronis De Verulamio, Vice-Comitis Sancti Albani Essays, Colors of good and evil, &amp; Advancement of learning, Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical &amp; theological, hitherto sleeping, Neuf liures de la dignite_ et de l'accroissement des sciences, Considerations touching a warre with Spaine"
Fulgenzio Micanzio	1570	1654			Male					Paolo Sarpi, Galileo Galilei			
Gabriel Naudé	1600-02-02	1653-07-10			Male	Paris	Abbeville						The history of magic
Gabriello Riccardi													
Galileo Galilei	1564-02-15	1642-01-08	University of Pisa		Male	Pisa	Arcetri		Maria Celeste				"Dialogue Concerning the Two Chief World Systems, Two New Sciences, The Assayer, Sidereus Nuncius,
documenti del processo di Galileo Galilei
Inedita Galilaeiana
achievement of Galileo
Galileo e l'Inquisizione
Galileo's letter about the libration of the moon
Thus spoke Galileo"
Galileo Gualdo													
Gallanzone Gallanzoni													
Gellio Sasceride	1562	1612			Male								
Georg Fugger													
Georg Michael Lingelsheim													
Geri Bocchineri		1650-05-00			Male				Carlo di Geri, Asciano Bocchineri, Polissena Gatteschi	Grand Duke Ferdinando II de' Medici			
Giacomo Alvise Cornaro													
Giacomo Contarini													
Giacomo Gaffarel													
Giacomo Jauffred													
Giacomo Leschassier													
Giacomo Muti													
Giacomo Van der Straeten													
Gian Giacomo Bouchard													
Giangiorgio Brengger													
Gio. Angelo Altermps													
Gio. Antonio Della Croce													
Giovanni Antonio Magini	1555-06-13	1617-02-11			Male	Padua	Bologna						
Gio. Antonio Roffeni													
Gio. Battista Arici													
Giovanni Battista Baliani	1582	1666			Male								
Gio. Battista Bonsi													
Gio. Battista Chiodino													
Giambattista della Porta	1535	1615-02-04			Male	Vico Equense	Naples						Gli duoi fratelli rivali, The sister
Gio. Battista Deti													
Giovanni Battista Doni	1593	1647			Male								
Gio. Battista Gondi													
Gio. Battista Guzzaroni													
Gio. Battista Landini													
Gio. Battista Manso													
Giovanni Battista Rinuccini	1592-09-15	1653-12-28			Male								
Giovanni Battista Rinuccini	1592-09-15	1653-12-28			Male								
Gio. Battista Stelluti													
Gio. Battista Strozzi													
Gio. Camillo  Gloriosi													
Gio. Francesco Buonamici													
Giovanni Francesco Sagredo	1571	1620			Male								
Gio. Francesco Tolomei													
Gio. Garsia Millini													
Gio. Giacomo Bouchard													
Gio. Giacomo Bouchard													
Gio. Lodovico Ramponi													
Gio. Michele Piò													
Gio. Niccolò Piccinini													
Gian Vincenzo Pinelli	1535	1601			Male								
Giorgio Bolognetti													
Giorgio Coresio			University of Pisa		Male	Chio					Chio(,)::Pisa(1609-00-00,1615-00-00)		
George Fortescue	1578	1659											
Giovanni Antonio Magini	1555-06-13	1617-02-11			Male	Padua	Bologna						
Giovan Battista  Strozzi													
Gian Vincenzo Pinelli	1535	1601			Male								
Giovanbatista Ricasolo Baroni													
Giovancosimo Geraldini													
Giovanfrancesco Buonamici													
Giovanni Francesco Sagredo	1571	1620	University of Padua		Male						Padua(1597-00-00,1600-00-00)::Friuli(1605-00-00,1607-00-00)::Aleppo(1608-00-00,1611-00-00)::Venice(1611-00-00,)		
Giovanni Remo													
Giovanni  Uguccioni													
Giovanni Antonio Magini													
Giovanni Antonio Petrarolo													
Giovanni Antonio Roffeni													
Giovanni Bardi													
Giovanni Bartoli													
Giovanni Bartoli													
Giovanni Bartoluzzi													
Giovanni Battista  Agucchi													
Giovanni Battista Arici													
Giovanni Battista Baliani	1582	1666			Male								
Giovanni Battista Sampieri													
Giovanni Belloni													
Giovanni Camillo Gloriosi													
Giovanni Ciampoli	1589	1643			Male	Florence				Galileo Galilei, Virginio Cesarini	Florence(1589-00-00,)::Rome(1614-00-00,)		
Giovanni de’Medici													
Giovanni Del Maestro													
Giovanni Demisiani													
Giovanni di Guevara													
Giovanni Faber	1574	1629	University of Würzburg		Male	Bamberg							
Giovanni Malipiero													
Giovanni Niccolini													
Giovanni de Galliano Pieroni	1586	1654											
Giovanni Rebhan													
Giovanni Remo													
Giovanni Ricasolo Baroni													
Giovanni Ronconi													
Giovanni Silvi													
Giovanni Taletone													
Giovanni Tarde													
Giovanni Terrenzio													
Giovanni Vannuccini													
Giovanni Vittorio de’Rossi													
Giovanni Wells													
Girolamo Bardi													
Girolamo da Quinzano													
Girolamo da Sommaia													
Girolamo Magagnati													
Girolamo Mattei													
Geronimo Mercuriali	1530-09-30	1606-11-13	University of Padua, University of Bologna		Male	Forlì							
Girolamo Perugino													
Girolamo Quaratesi													
Girolamo Selvatico													
Girolamo Spinelli		1647			Male	Padua				Benedetto Castelli	Padua(,)::Venice(,)::Parma(1634-00-00,)		
Gismondo Coccapani													
Giulia Ammannati Galilei	1538	1620				Pisa					Florence (1574), Padua (1609)	http://brunelleschi.imss.fi.it/itineraries/biography/GiuliaAmmannati.html	
Giuliano de’ Medici													
Giulio Cesare la Galla	1576	1624			Male	Padua							
Giulio Gerini													
Giulio Inghirami													
Giulio Ninci													
Giulio Parigi	1571	1635			Male								
Giuseppe Biancani	1566	1624			Male								
Giuseppe d’Acquaviva													
Giuseppe Gaultier													
Giuseppe Neri													
Godefroy Wendelin	1580-06-06	1667-10-24			Male								
Gregorio de Saint-Vincent													
Guglielmo Schickhardt													
Guglielmo Schickhardt													
Guido Cardinal Bentivoglio	1579-10-04	1644-09-07			Male								
Guido Bettoli													
Guidobaldo del Monte	1545-01-11	1607-01-06	University of Padua		Male						Padua(,)::Urbino(1572-00-00,1575-00-00)		
Guidobaldo del Monte	1545-01-11	1607-01-06			Male								
Guiseppe Gagliari													
Hans Georg Hewart von Hoenburg													
Henry Wotton	1568-03-30	1639-12			Male								The characters of Robert Devereux Earl of Essex, Poems, Reliquiae Wottonianae, The Character of a Happy Life
I Riformatori dello Studio 													
Iacopo Giraldi													
Iacopo Mazzoni													
Ilario Altobelli													
Ingolfo de’Conti													
Innocenzo Perugino													
Inquisitor													
Ippolito Aldobrandini	1592	1638-07-19			Male								
Ismaël Bullialdus	1605-09-28	1694-11-25			Male	Loudun	Paris						
Jan Bro_ek													
Jan Friedrich Breiner													
Jan _yczko of Rygice													
Joachim Ernst von Brandenburg													
Johann Carolus	1575	1634			Male	Muhlbach-sur-Munster							
Giovanni Faber	1574	1629	University of Würzburg		Male	Bamberg							
Johannes Bregnner													
Giovanni Faber	1574	1629	University of Würzburg		Male	Bamberg							
Johannes Kepler	1571-12-27	1630-11-15	Tubingen		Male	Weil der Stadt	Regensburg		Cordula Kepler, Susanna Kepler, Friedrich Kepler, Ludwig Kepler, Sebald Kepler, Katharina Kepler, Margareta Regina Kepler, Fridmar Kepler, Hildebert Kepler, Heinrich Kepler		Weil der Stadt(1571-12-27,)::Tubingen(1584-00-00,)::Graz(1594-00-00,)::Prague(1600-00-00,1612-00-00)::Linz(1612-00-00,)::Regensburg(,1630-11-15)		"""Somnium, Rudolphine Tables, Harmonice Mundi, Astronomia nova
harmony of the world, Ad Vitellionem paralipomena, quibus astronomiae pars optica traditur, Gesammelte werke
Vom sechseckigen Schnee =, J. Keplers grundlagen der geometrischen optik, Tertius interveniens"""
Johannes Remo													
John Wodderborn													
Krystof  Zbaraski													
Lelio d’Oriolo													
Lelio Marzari													
Leonardo Donato	1536-02-12	1612-07-16			Male								
Leonardo Tedeschi													
Leopold V, Archduke of Austria	1586-10-09	1632-09-13			Male	Graz	Schwaz		Archduke Sigismund Francis of Austria, Archduke Ferdinand Charles of Austria, Archduchess Isabella Clara of Austria				
Livia Galilei													
Lodovica Vinta													
Cigoli	1559-09-12	1613			Male								
Cigoli	1559-09-12	1613			Male								
Lodovico delle Colombe	1565				Male	Florence		Florentine Academy			Florence(1565-00-00,)		
Lodovico Lodovici													
Lodovico Settala													
Lorenzo Ceccarelli 													
Lorenzo Giacomini													
Lorenzo Magalotti	1637	1712	University of Pisa					Accademia del Cimento		Marcello Malpighi, Giovanni Alfonso Borelli, Vincenzo Viviani			
Lorenzo Petrangeli													
Lorenzo Pignoria													
Lorenzo Usimbardi													
Luca Holstein													
Luca Degli Albizzi													
Luca Holstein													
Luca Valerio	1552	1618			Male								
Luigi Alamanni	1495-03-06	1556-04-18			Male	Florence	Amboise						
Luigi Capponi													
Luigi Maraffi													
Pope Urban VIII	1568-04-05	1644-07-29			Male	Florence	Rome						
Malatesta II Baglioni	1491	1531-12-24			Male								
Malatesta Porta													
Marc Antonio Bissaro													
Marcantonio Baldi													
Marcantonio Pieralli													
Marcantonio Pieroni													
Marco Lentowicz													
Margherita Sarrocchi		1617											Scanderbeide
Maria  Tedaldi													
Maria Celeste	1600-08-16	1634			Female								To father
Maria Magdalena of Austria	1589-10-07	1631-11-01			Female	Graz	Padua		"Margherita de' Medici
Ferdinando II de' Medici, Grand Duke of Tuscany
Francesco de' Medici
Leopoldo de' Medici
Anna de' Medici
Gian Carlo de' Medici
Mattias de' Medici"				
Marin Mersenne	1588-09-08	1648-09-01	Le Fleche, Sorbonne		Male	Oizé	Paris				Oizé(1588-00-00,)::Paris(,1648-00-00)		Harmonie vniverselle, Book one of the Traitez de la voix et des chants from Marin Mersenne's Harmonie universelle
Marin Getaldi_	1568-10-02	1626-04-11			Female	Dubrovnik	Dubrovnik						
Mario Guiducci	1585	1646-11-05	University of Pisa		Male	Florence	Florence	Academy of the Crusca, Florentine Academy, Academy of Lincei	Alessandro Guiducci, Camilla di Jacopo di Cappone				
Mark Welser	1558	1614			Male	Augsburg		Academy of the Crusca, Academy of Lincei	Bartholomeus Welser				
Martin Hasdale													
Martin Horky					Male					Antonio Magini	Bologna(,)::Modena(,)		
Martino Sandelli													
Martino Sandrelli													
Matematici del Collegio Romano													
Matteo Bartolini													
Matteo Botti													
Matteo Caccini	1573-04-15	1640			Male	Florence	Florence		Giovanni Caccini, Maddelena di Paolo Corsini	Cardinal Arrigoni	Florence(1573-04-15,)::Rome(,)::Benevento::(,)::Florence(,1640-00-00)		
Matteo Carosio													
Matthew Kellison	1560	1642			Male								
Matthias Bernegger	1582-02-08	1640-02-05			Male	Hallstatt	Strasbourg						
Matthias Welser													
Mattia Naldi													
Mazzeo Mazzei													
Members of the Lincean Academy													
Michelangelo Buonarroti													
Michelagnolo Galilei	1575-12-18	1631-01-03			Male	Florence							
Michele  Coignet													
Michele Maestlin													
Muzio Oddi													
Muzio Tedaldi					Male				Bartolomea Ammannati	Vincenzo Galilei, Galileo Galilei, Michelangelo Galilei			
Neri Ricasolo Baroni													
Niccolò Aggiunti	1600	1635-12-05	College of Nobles of Perugia, College of the Sapienza in Pisa, University of Pisa		Male	Borgo San Sepolcro	Pisa		Giovanni Battista Aggiunti	Bonciario, Francesco Accarisi, Benedetto Castelli, Ferdinando II, Galileo, Duke of Lorena, Duke of Guisa, Giovanni Carlo, Prince Mattias, Dino Peri			
Niccolò Arrighetti													
Niccolò Cini													
Niccolò Dolfin													
Nicolas-Claude Fabri de Peiresc	1580-12-01	1637-06-24			Male	Belgentier	Aix-en-Provence						
Niccolo Giugni													
Niccolò Herrera													
Niccòlo Lorini													
Niccolò Riccardi	1585	1639			Male	Genoa				Urban VIII			
Niccolò Sacchetti													
Niccòlo Tassi													
Nicholas Wickens													
Nicolas-Claude Fabri de Peiresc	1580-12-01	1637-06-24			Male	Belgentier	Aix-en-Provence						
Nicolò  Stelliola													
Nicolò Antonio Stelliolia													
Odo Van Maelcote	1572-07-28	1615-03-14			Male	Brussels	Rome						
Odoardo Cardinal Farnese	1573-12-06	1626-02-21	Jesuit College in Rome		Male								
Onofrio Castelli													
Onorato Visconti													
Orazio  del Monte													
Orazio Cavalcanti													
Orazio Grassi	1590	1654	Jesuit College in Genoa, Jesuit College in Rome		Male	Savona							De tribus cometis anni MDCXVIII disputatio astronomica, Libra astronomica ac philosophica, Ratio ponderum librae et simbellae…
Orazio Morandi		1630-10-09			Male					Don Antonio, Don Giovanni de' Medici			
Orso d’Elci													
Ottaviano Lotti													
Ottavio Bandini													
Ottavio Brenzoni													
Ottavio Pisani													
Pandolfo Sprani													
Paolo Airoldi													
Paolo Antonio Foscarini	1580		University of Naples, University of Messina		Male	Montalto Uffugo, Calabria							Lettera… sopra l'opinione de' pittagorici e del Copernico della mobilità della Terra e stabilità del Sole, e del nuovo pittagorico sistema del mondo
Paolo Antonio Foscarini	1580		University of Naples, University of Messina		Male	Montalto Uffugo, Calabria							Lettera… sopra l'opinione de' pittagorici e del Copernico della mobilità della Terra e stabilità del Sole, e del nuovo pittagorico sistema del mondo
Paolo Aproino													
Paolo Beni													
Paolo Bombini													
Paolo da Garresio													
Paolo delli Franci													
Paolo Egidio da Como													
Paolo Emilio Boiardi													
Paolo Giordano II Orsini													
Paolo Giordano Orsini													
Paolo Gualdo	1553-07-25	1621-10-16	University of Padua		Male	Vicenza	Padua			Giovanni Vincenzo Pinelli	Vicenza(1553-07-25,)::Padua(,)::Rome(1582-00-00,1590-00-00)::Vicenza(1590-00-00,1591-00-00)::Padua(1591-00-00,)		
Paolo Lattanzio da Ferrara													
Paolo Maria Cittadini													
Paolo Pozzobonelli													
Paolo Sarpi	1552-08-14	1623-01-15	University of Padua		Male	Venice	Venice			Galileo Galilei			The history of the Council of Trent, The maxims of the government of Venice, A treatise of beneficiary matters, or, A history of ecclesiastical benefices and revenues, A treatise of matters beneficiary
Paolo Emilio Sfondrati	1560	1618-02-14			Male								
Paolo Stecchini													
Pedro Téllez-Girón													
Pier Francesco Rinuccini													
Pierfrancesco de’Ricci													
Pierluigi Caraffa													
Piermatteo Giordani													
Piero Dini													
Piero Girolami													
Piero Guicciardini	1560-00-00	1636-09-13			Male	Florence					Florence(1560-00-00,)::Naples(1587-00-00,1587-00-00)::Sicily(1587-00-00,1587-00-00)::Malta(1587-00-00,1587-00-00)::France(1609-00-00,)::Rome(1611-04-00,1621-00-00)::Florence(1621-00-00,1626-09-13)		
Pietro di Castro													
Pietro Cardinal Aldobrandini	1571-03-31	1621-02-10			Male	Rome	Rome						
Pietro di Castro													
Pietro Duodo													
Pietro Dupuy													
Pietro Dupuy, Giacomo Dupuy													
Pietro Francesco Malaspina													
Pierre Gassendi	1592-01-22	1655-10-24			Male		Paris						"The mirrour of true nobility &amp; gentility, Petri Gassendi Institutio astronomica, Initiation a_ la the_orie de la musique, Patri Gassendi Institutio astronomica, Dissertations en forme de paradoxes contre les Aristotéliciens, Peiresc &amp; his books, Vie et Moeurs d'Epicure, Three Discourses of Happiness, Virtue and Liberty, Pierre Gassendi's Institutio Logica, Lettres familie_res a_ Franc_ois Lullier pendant l'hiver 1632-1633"
Pietro Iacopo Failla													
Pietro Mazzei													
Pietro Niccolini													
Polissena  Gatteschi Bocchineri													
President of the Council of the Indies													
Raffaele Aversa													
Raffaello di Bollogne													
Raffaello Gualterotti													
Raffaello Magiotti													
Raffaello Staccoli													
Raffaello Visconti													
Ranuccio Scotti													
René Descartes	1596-03-31	1650-02-11	Jesuit college of Le Flèche, University of Poitiers		Male	La Haye, Turenne	Stockholm			Christina of Sweden, Isaac Beeckman	La Haye(1596-03-31,)::Poitiers(,)::Holland(1618,)::Germany(,)::Bohemia(,)::La Haye(1622-00-00,)::Holland(1629-00-00,1649-00-00)::Stockholm(1649-10-00,1650-02-11)		Meditations on First Philosophy, Principles of Philosophy, Discourse on Method, La Géométrie, Discurso del Metodo - Meditacion Metafisica, Qui Ne Souffre Pas, Mundo, El, Classical Selections on Great Issues, French and English Philosophers, Principia philosophiÂµ
Rettori di Padua													
Riccardo White													
Riformatori Dello Studio di Padova													
Robert Bellarmine	1542-10-04	1621-09-17	Roman College		Male	Montepulciano	Rome				Montepulciano(1542-10-04,)::Florence(,)::Mondovi(,)::Belgium(,)::Rome(1576-00-00,1621-09-17)		
Roberto Galilei													
Roberto Strozzi													
Roberto Ubaldini	1581	1635-04-22			Male								
Roman College Mathematicians													
Ruberto Pandolfini													
Sanctorius	1561-03-29	1636-02-22			Male	Koper - Capodistria	Venice						
Scipione Borghese	1577-09-01	1633-10-02			Male	Rome	Rome						
Scipione Chiaramonti	1565-06-21	1652-10-03	University of Ferrara, University of Perugia, University of Pisa		Male	Cesena	Cesena				Cesena(1565-06-21,)::Ferrara(,):Perugia(,)::Pisa(1627-00-00,1636-00-00)::Cesena(1636-00-00,1652-10-03)		
Sebastiano Borsa													
Sebastiano Venier	1496	1578-03-03			Male								
Senato di Bologna [Senate of Bologna]													
Sigismondo di Cologna													
Sigismondo Pellegri													
Silvestro Landini													
Silvio Piccolomini													
Simon Mayr	1763-06-14	1845-12-02			Male		Bergamo						
Spinello Benci													
Tarquinio Galluzzi													
Teofilo Mueller													
Tiberio Muti													
Tiberio Sinbaldi													
Tiberio Spinola													
Tobia Adami													
Tobie Matthew													
Tolomeo Nozzolini													
Tommaso  Seggetti													
Tommaso Campanella	1568-09-05	1639-05-21			Male	Stilo	Paris						The City of the Sun, De homine, De remediis malorum, Lettere, poesie, Escatologia, Opuscoli inediti, Metaphysica, Poetica, Cite_ du soleil
Tommaso da Tabia													
Tommaso di Lavagna													
Tommaso Giannini													
Tommaso Mermanni													
Tommaso Rinucci													
Tommaso Rinucci													
Tommaso Stigliani													
Tycho Brahe	1546-12-14	1601-10-24	University of Rostock, University of Copenhagen		Male	Knutstorp Castle	Prague		Elisabeth Brahe, Tyge Brahe, Jörgen Brahe, Claudius Brahe, Kirstine Brahe, Sophie Brahe, Sidsel Brahe, Magdalene Brahe				
Vicario del Sant’Uffizio													
Vicars of Pavia													
Vincenzio di Grazia													
Vincenzo Galilei													
Vincenzo Gonzaga													
Vincenzo Galilei	1520	1591-07-02			Male	Santa Maria a Monte	Florence		Galileo Galilei	Gioseffo Zarlino	Santa Maria a Monte(1520-00-00,)::Venice(,)::Pisa(,1574-00-00)::Florence(1574-00-00,)		Dialogue on ancient and modern music, Fronimo
Vincenzo Giugni													
Vincenzo Gonzaga													
Vincenzo Langieri													
Vincenzo Maculano													
Vincenzo Maria Pellegrini													
Vincenzo Mirabella													
Virginio Cesarini													
Virginio Orsini													
Zaccaria Sagredo													
Ammannati, Leone											Pisa (1536, 1567-03-10)		
Andrea Bacci	1524	24/10/1600	Sapienza University of Rome			Sant'Elpidio a Mare				Cardinal Ascanio Colonna	Serra San Quirico (1551), Rome		
Phillip III													
